obs,author,study,year,class,order,family,genus,species,variable,fitness.estimate,treatment,estimated.increase.in.harm (M:F),estimated.harm,Orthogonal treatment type,Orthogonal treatment,"fitness.estimate raw or derived, empty=raw",X_C,SE_C,sd_C,N_C,X_T,SE_T,sd_T,N_T,source,Control_MatingRate/ OSR,Treatment_MatingRate/ OSR,"Treatment type: MP=Mono/Poly, Exposure= no ratio manipulation only exposure/ access manipulated",Treatment period in days (hrs if mentioned)= convert all to days,Simultaneous/ Sequential exposure in treatment,"Diff. exposure time= treatment exposure - control exposure, days/ hrs if treatment type is exposure",Experimental evolution,Control_MaleNo= >1 indicates 1:1 OSR but more than one pair housed together,Treatment_MaleNo_,"Simultaneous male no. in treatment, empty = >1, 1 for sequential",C_SexRatio (M:F),T_SexRatio,Shared control- Y/N,NOTES ABOUT SPECIES,Dryad DOI,Notes on data extraction,Written to author,Received data,DOI
16,Vandekerkhove,3,2007,Ostracoda,Podocopida,Cyprididae,Eucypris,Eucypris virens,no. of hatchlings,direct,sex ratio,1:4 vs 1:1,4,Time,experiment period 2,,2.946136,1.305015,7.147863,30,0.943833,1.087513,5.956553,30,Fig. 1b,>1,>1,MP,19,Simultaneous,,N,1,,,1:04,1:01,,,,,,,
17,Vandekerkhove,3,2007,Ostracoda,Podocopida,Cyprididae,Eucypris,Eucypris virens,no. of hatchlings,direct,sex ratio,1:8 vs 1:1,8,Time,experiment period 2,,1.161336,0.601331,3.124605,27,0.943833,1.087513,5.956553,30,Fig. 1b,>1,>1,MP,19,Simultaneous,,N,1,,,1:08,1:01,,,,,,,
18,Sultanova,4,2019,Insecta,Diptera,Drosophilidae,Drosophila,Drosophila pseudoobscura,no. of pupae,direct,sex ratio,1:2 - 2:1,1.5,age,young,,57.14286,,4.972783,21,42.12,,9.523305,25,Dryad Data,>1,>1,MP,2,Simultaneous,,N,2,,,2:04,4:02,,,https://doi.org/10.5061/dryad.s67v7b1,,,,
19,Sultanova,4,2019,Insecta,Diptera,Drosophilidae,Drosophila,Drosophila pseudoobscura,no. of pupae,direct,sex ratio,1:2 - 2:1,1.5,age,old,,51.25,,8.357501,24,24.40909,,10.2848,22,Dryad Data,>1,>1,MP,2,Simultaneous,,N,2,,,2:04,4:02,,,https://doi.org/10.5061/dryad.s67v7b1,,,,
20,Sultanova,4,2019,Insecta,Diptera,Drosophilidae,Drosophila,Drosophila pseudoobscura,standardized fitness,direct,sex ratio,1:2 - 2:1,1.5,age,young,derived,12.2381,,11.24532,21,9.64,,12.24364,25,Dryad Data,>1,>1,MP,2,Simultaneous,,N,2,,,2:04,4:02,,,https://doi.org/10.5061/dryad.s67v7b1,,,,
21,Sultanova,4,2019,Insecta,Diptera,Drosophilidae,Drosophila,Drosophila pseudoobscura,standardized fitness,direct,sex ratio,1:2 - 2:1,1.5,age,old,derived,-5.59722,,6.871477,24,-6.86364,,9.823662,22,Dryad Data,>1,>1,MP,2,Simultaneous,,N,2,,,2:04,4:02,,,https://doi.org/10.5061/dryad.s67v7b1,,,,
22,Rossi,5,2010,Insecta,Hymenoptera,Megachilidae,Megachile,Megachile rotundata,Offspring production rate (no. per day),direct,sex ratio,1:2 - 3:1,2.5,-,,,1.3,,0.368,14,0.497,,0.42,11,Fig. 5,>1,>1,MP,7,Simultaneous,,N,6,,,1:02,3:01,,,,,,,
23,Rossi,5,2010,Insecta,Hymenoptera,Megachilidae,Megachile,Megachile rotundata,Offspring production rate (no. per day),direct,sex ratio,1:2 - 4:1,3.5,-,,,1.3,,0.368,14,1.28,,0.388,5,Fig. 5,>1,>1,MP,7,Simultaneous,,N,6,,,1:02,4:01,,,,,,,
24,Sanmartin-Villar,6,2022,Insecta,Odonata,Coenagrionidae,Ischnura,Ischnura graellsii,no. of eggs,direct,sex ratio,3,3,-,,,379.93,34.6,119.8579,12,340.83,26.37,98.66751,14,"Text, page 6",>1,>1,MP,18 hrs= 6 hrs per day/ 3 days,Simultaneous,,N,2,,,2:02,6:02,,,,,,,
24,Sanmartin-Villar,6,2022,Insecta,Odonata,Coenagrionidae,Ischnura,Ischnura graellsii,fertility,direct,sex ratio,3,3,-,,,97.36,0.01,0.034641,12,91.58,0.05,0.187083,14,"Text, page 6",>1,>1,MP,18 hrs= 6 hrs per day/ 3 days,Simultaneous,,N,2,,,2:02,6:02,,,,,,,
25,Galicia-Mendoza,7,2017,Insecta,Odonata,Coenagrionidae,Ischnura,Ischnura graellsii,no. of eggs,direct,sex ratio,3,3,morph,androchrome,,656.4444,,688.8721,9,697.4444,,363.3879,9,Dryad Data,>1,>1,MP,20 hrs= 10 hrs/ 2 days,Simultaneous,,N,2,,,2:02,3:01,,,,,,,
26,Galicia-Mendoza,7,2017,Insecta,Odonata,Coenagrionidae,Ischnura,Ischnura graellsii,no. of eggs,direct,sex ratio,3,3,morph,aurantiaca,,739.2222,,356.5508,9,550,,479.407,10,Dryad Data,>1,>1,MP,20 hrs= 10 hrs/ 2 days,Simultaneous,,N,2,,,2:02,3:01,,,,,,,
27,Galicia-Mendoza,7,2017,Insecta,Odonata,Coenagrionidae,Ischnura,Ischnura graellsii,no. of eggs,direct,sex ratio,3,3,morph,infuscans,,705.4167,529.0816,1832.792,12,137.1,,184.0938,10,Dryad Data,>1,>1,MP,20 hrs= 10 hrs/ 2 days,Simultaneous,,N,2,,,2:02,3:01,,,,,,,
28,Sirot & Brockmann,8,2001,Insecta,Odonata,Coenagrionidae,Ischnura,Ischnura ramburi,no. of eggs,direct,sex ratio,3,3,morph,andromorph,,930.7,175.7,527.1,9,447.5,127.2,359.7759,8,Table 2,>1,>1,MP,11 days (range 8-26),Simultaneous,,N,2,,,2:02,3:01,,,,,,,
29,Sirot & Brockmann,8,2001,Insecta,Odonata,Coenagrionidae,Ischnura,Ischnura ramburi,egg laying rate,direct,sex ratio,3,3,morph,andromorph,,81.9,13.3,39.9,9,48.3,15.2,42.99209,8,Table 2,>1,>1,MP,11 days (range 8-26),Simultaneous,,N,2,,,2:02,3:01,,,,,,,
30,Sirot & Brockmann,8,2001,Insecta,Odonata,Coenagrionidae,Ischnura,Ischnura ramburi,lifespan,indirect,sex ratio,3,3,morph,andromorph,,12.4,2.3,6.9,9,9.3,1.5,4.242641,8,Table 2,>1,>1,MP,11 days (range 8-26),Simultaneous,,N,2,,,2:02,3:01,,,,,,,
31,Sirot & Brockmann,8,2001,Insecta,Odonata,Coenagrionidae,Ischnura,Ischnura ramburi,no. of eggs,direct,sex ratio,3,3,morph,gynomorph,,902.7,177.4,532.2,9,668.1,163.4,490.2,9,Table 3,>1,>1,MP,11 days (range 8-26),Simultaneous,,N,2,,,2:02,3:01,,,,,,,
32,Sirot & Brockmann,8,2001,Insecta,Odonata,Coenagrionidae,Ischnura,Ischnura ramburi,egg laying rate,direct,sex ratio,3,3,morph,gynomorph,,105.7,11.3,33.9,9,96.3,19.4,58.2,9,Table 3,>1,>1,MP,11 days (range 8-26),Simultaneous,,N,2,,,2:02,3:01,,,,,,,
33,Sirot & Brockmann,8,2001,Insecta,Odonata,Coenagrionidae,Ischnura,Ischnura ramburi,lifespan,indirect,sex ratio,3,3,morph,gynomorph,,8.6,1.5,4.5,9,7.4,2,6,9,Table 3,>1,>1,MP,11 days (range 8-26),Simultaneous,,N,2,,,2:02,3:01,,,,,,,
43,MacPherson,10,2018,Insecta,Diptera,Drosophilidae,Drosophila,Drosophila melanogaster,Fecundity,direct,male access,low vs. high,,Exp Env - Female quality,Container-HighQ,,86.09655,,12.07922,10,86.90333,,11.57596,10,Dryad Data,>1,>1,Exposure,6 days,-,15 hrs,N,35,,1,35:35:00,35:35:00,,,https://doi.org/10.5061/dryad.9v017mr,"Low Exposure: ""35 females were held together with 35 males in a vial with fresh medium for 5 h on days 1, 4 and 6; males were absent for the rest of the time"", High Exposure: continously exposed. Female quality manipulated using density while rearing. Two orthogonal treatments: experiment arena and female quality",,,
44,MacPherson,10,2018,Insecta,Diptera,Drosophilidae,Drosophila,Drosophila melanogaster,Fecundity,direct,male access,low vs. high,,Exp Env - Female quality,Container-LowQ,,82.79333,,12.05785,10,74.96667,,12.83907,10,Dryad Data,>1,>1,Exposure,6 days,-,15 hrs,N,35,,1,35:35:00,35:35:00,,,https://doi.org/10.5061/dryad.9v017mr,"Low Exposure: ""35 females were held together with 35 males in a vial with fresh medium for 5 h on days 1, 4 and 6; males were absent for the rest of the time"", High Exposure: continously exposed. Female quality manipulated using density while rearing. Two orthogonal treatments: experiment arena and female quality",,,
45,MacPherson,10,2018,Insecta,Diptera,Drosophilidae,Drosophila,Drosophila melanogaster,Fecundity,direct,male access,low vs. high,,Exp Env - Female quality,Vial- HighQ,,60.72667,,5.633271,10,53.81333,,6.285601,10,Dryad Data,>1,>1,Exposure,6 days,-,15 hrs,N,35,,1,35:35:00,35:35:00,,,https://doi.org/10.5061/dryad.9v017mr,"Low Exposure: ""35 females were held together with 35 males in a vial with fresh medium for 5 h on days 1, 4 and 6; males were absent for the rest of the time"", High Exposure: continously exposed. Female quality manipulated using density while rearing. Two orthogonal treatments: experiment arena and female quality",,,
46,MacPherson,10,2018,Insecta,Diptera,Drosophilidae,Drosophila,Drosophila melanogaster,Fecundity,direct,male access,low vs. high,,Exp Env - Female quality,Vial- LowQ,,49.04444,,7.360562,10,43.15172,,6.619809,10,Dryad Data,>1,>1,Exposure,6 days,-,15 hrs,N,35,,1,35:35:00,35:35:00,,,https://doi.org/10.5061/dryad.9v017mr,"Low Exposure: ""35 females were held together with 35 males in a vial with fresh medium for 5 h on days 1, 4 and 6; males were absent for the rest of the time"", High Exposure: continously exposed. Female quality manipulated using density while rearing. Two orthogonal treatments: experiment arena and female quality",,,
47,MacPherson,10,2018,Insecta,Diptera,Drosophilidae,Drosophila,Drosophila melanogaster,Total fitness= survival * viablity,direct,male access,low vs. high,,Exp Env - Female quality,Container-HighQ,derived,78.85931,,11.47848,10,83.0579,,11.54428,10,Dryad Data,>1,>1,Exposure,6 days,-,15 hrs,N,35,,1,35:35:00,35:35:00,,,https://doi.org/10.5061/dryad.9v017mr,"Low Exposure: ""35 females were held together with 35 males in a vial with fresh medium for 5 h on days 1, 4 and 6; males were absent for the rest of the time"", High Exposure: continously exposed. Female quality manipulated using density while rearing. Two orthogonal treatments: experiment arena and female quality",,,
48,MacPherson,10,2018,Insecta,Diptera,Drosophilidae,Drosophila,Drosophila melanogaster,Total fitness= survival * viablity,direct,male access,low vs. high,,Exp Env - Female quality,Container-LowQ,derived,75.89371,,10.7901,10,69.27352,,11.40799,10,Dryad Data,>1,>1,Exposure,6 days,-,15 hrs,N,35,,1,35:35:00,35:35:00,,,https://doi.org/10.5061/dryad.9v017mr,"Low Exposure: ""35 females were held together with 35 males in a vial with fresh medium for 5 h on days 1, 4 and 6; males were absent for the rest of the time"", High Exposure: continously exposed. Female quality manipulated using density while rearing. Two orthogonal treatments: experiment arena and female quality",,,
49,MacPherson,10,2018,Insecta,Diptera,Drosophilidae,Drosophila,Drosophila melanogaster,Total fitness= survival * viablity,direct,male access,low vs. high,,Exp Env - Female quality,Vial- HighQ,derived,57.54171,,5.809352,10,51.57676,,5.843901,10,Dryad Data,>1,>1,Exposure,6 days,-,15 hrs,N,35,,1,35:35:00,35:35:00,,,https://doi.org/10.5061/dryad.9v017mr,"Low Exposure: ""35 females were held together with 35 males in a vial with fresh medium for 5 h on days 1, 4 and 6; males were absent for the rest of the time"", High Exposure: continously exposed (for 6 days I suppose). Female quality manipulated using density while rearing. Two orthogonal treatments: experiment arena and female quality",,,
50,MacPherson,10,2018,Insecta,Diptera,Drosophilidae,Drosophila,Drosophila melanogaster,Total fitness= survival * viablity,direct,male access,low vs. high,,Exp Env - Female quality,Vial- LowQ,derived,46.64775,,6.861118,10,41.46246,,6.810127,10,Dryad Data,>1,>1,Exposure,6 days,-,15 hrs,N,35,,1,35:35:00,35:35:00,,,https://doi.org/10.5061/dryad.9v017mr,"Low Exposure: ""35 females were held together with 35 males in a vial with fresh medium for 5 h on days 1, 4 and 6; males were absent for the rest of the time"", High Exposure: continously exposed. Female quality manipulated using density while rearing. Two orthogonal treatments: experiment arena and female quality",,,
51,Yun,11,2017,Insecta,Diptera,Drosophilidae,Drosophila,Drosophila melanogaster,Total fitness= survival * viablity,direct,male access,low vs. high,,Exp Env,Cage,derived,33.00857,,5.980575,35,34.53333,,4.986524,33,Dryad Data,>1,>1,Exposure,6 days,-,9 hrs,N,35,,1,35:35:00,35:35:00,,,,"""In the low-exposure replicates, the 35 females were held with 35 males for 3 h in a vial on days 1, 4, and 6 of the mating phase. In the high-exposure replicates, [..] females in these replicates were continually exposed to males.""",,,
52,Yun,11,2017,Insecta,Diptera,Drosophilidae,Drosophila,Drosophila melanogaster,Total fitness= survival * viablity,direct,male access,low vs. high,,Exp Env,Vial,derived,24.74571,,3.306975,35,18.9,,4.214331,35,Dryad Data,>1,>1,Exposure,6 days,-,9 hrs,N,35,,1,35:35:00,35:35:00,,,,"""In the low-exposure replicates, the 35 females were held with 35 males for 3 h in a vial on days 1, 4, and 6 of the mating phase. In the high-exposure replicates, [..] females in these replicates were continually exposed to males.""",,,
53,Boulton,12,2015,Insecta,Hymenoptera,Pteromalidae,Nasonia,Nasonia vitripennis,no. of eggs,direct,mating rate,1 vs. 2 matings with same male,2,,,,100.4946,,38.28795,52,97.84211,,36.54399,48,Dryad Data,1,2,No. of matings,,Sequential,,N,-,,1,-,-,,Monoandrous,,"Study with 6 experiments testing mainly effects of polyandry, Exp. 3 and 6 used to extract effect sizes. Exp 3 mainly tests effects of polyandry",,,
54,Boulton,12,2015,Insecta,Hymenoptera,Pteromalidae,Nasonia,Nasonia vitripennis,no. of eggs,direct,mating rate,1 vs. 2 matings with 2 different males,2,,,,100.4946,,38.28795,52,90.74556,,35.18777,49,Dryad Data,1,2,No. of matings,,Sequential,,N,,,2,,,,Monoandrous,,"Study with 6 experiments testing mainly effects of polyandry, Exp. 3 and 6 used to extract effect sizes. Exp 3 mainly tests effects of polyandry",,,
55,Boulton,12,2015,Insecta,Hymenoptera,Pteromalidae,Nasonia,Nasonia vitripennis,no. of eggs,direct,sex ratio,10,10,Male presence during oviposition,absent during oviposition,,82.61157,,28.44362,55,85.57576,,27.30182,53,Dryad Data,>1,>1,MP,2,Simultaneous,,N,1,,,1:01,10:01,,Monoandrous,,"Study with 6 experiments testing mainly effects of polyandry, Exp. 3 and 6 used to extract effect sizes. Exp 6 explicitly tests for effects of harassment.",,,
56,Boulton,12,2015,Insecta,Hymenoptera,Pteromalidae,Nasonia,Nasonia vitripennis,no. of eggs,direct,sex ratio,10,10,Male presence during oviposition,present during oviposition (high exposure),,79.08571,,31.90313,52,65.43878,,25.58071,47,Dryad Data,>1,>1,MP,>2,Simultaneous,,N,1,,,1:01,10:01,,Monoandrous,,"Study with 6 experiments testing mainly effects of polyandry, Exp. 3 and 6 used to extract effect sizes. Exp 3 mainly tests effects of polyandry",,,
57,Boulton,12,2015,Insecta,Hymenoptera,Pteromalidae,Nasonia,Nasonia vitripennis,lifespan,indirect,sex ratio,10,10,Male presence during oviposition,absent during oviposition,,257.438,,22.12385,55,255.697,,36.71441,53,Dryad Data,>1,>1,MP,2,Simultaneous,,N,1,,,1:01,10:01,,Monoandrous,,"Study with 6 experiments testing mainly effects of polyandry, Exp. 3 and 6 used to extract effect sizes. Exp 6 explicitly tests for effects of harassment.",,,
58,Boulton,12,2015,Insecta,Hymenoptera,Pteromalidae,Nasonia,Nasonia vitripennis,lifespan,indirect,sex ratio,10,10,Male presence during oviposition,present during oviposition (high exposure),,250.019,,44.47492,52,241.9592,,50.29335,47,Dryad Data,>1,>1,MP,>2,Simultaneous,,N,1,,,1:01,10:01,,Monoandrous,,"Study with 6 experiments testing mainly effects of polyandry, Exp. 3 and 6 used to extract effect sizes. Exp 3 mainly tests effects of polyandry",,,
59,Byrne,13,2000,Amphibia,Anura,Myobatrachidae,Crinia,Crinia georgiana,% survival,direct,mating rate,1 mating vs. multiple,,Rearing condition,Wet,,84.96,7.19,20.33639,8,80.91,7.16,20.25154,8,Table 1,1,>1,No. of matings,,Sequential,,N,1,,,,,,,,Frogs were interrupted while mating and females were allowed to mate multiply. Testing effects of multiple paternity and rearing environment.,,,
60,Byrne,13,2000,Amphibia,Anura,Myobatrachidae,Crinia,Crinia georgiana,% survival,direct,mating rate,1 mating vs. multiple,,Rearing condition,Dry,,53.24,7.28,20.59095,8,52.7,8.26,20.23279,6,Table 1,1,>1,No. of matings,,Sequential,,N,1,,,,,,,,Frogs were interrupted while mating and females were allowed to mate multiply. Testing effects of multiple paternity and rearing environment.,,,
61,Byrne,13,2000,Amphibia,Anura,Myobatrachidae,Crinia,Crinia georgiana,size of hatchling,direct,mating rate,1 mating vs. multiple,,Rearing condition,Wet,,115.54,6.8,19.2333,8,123.69,6.27,17.73424,8,Table 1,1,>1,No. of matings,,Sequential,,N,1,,,,,,,,Frogs were interrupted while mating and females were allowed to mate multiply. Testing effects of multiple paternity and rearing environment.,,,
62,Byrne,13,2000,Amphibia,Anura,Myobatrachidae,Crinia,Crinia georgiana,size of hatchling,direct,mating rate,1 mating vs. multiple,,Rearing condition,Dry,,109.54,6.41,18.13022,8,115.66,7.24,17.73431,6,Table 1,1,>1,No. of matings,,Sequential,,N,1,,,,,,,,Frogs were interrupted while mating and females were allowed to mate multiply. Testing effects of multiple paternity and rearing environment.,,,
63,Caesar,14,2009,Insecta,Orthoptera,Tetrigidae,Tetrix,Tetrix subulata,no. of eggs,direct,mating rate,1 mating vs. multiple,,Clutch no. - Male color morph,Clutch 1 / Same within treatment males,,10.74,,5.29,23,12.4,,5.31,25,Table 1,>1,>1,MP,4,Sequential,1 day,N,1,,,1:01,4:01,,Polyandrous,,Data given for two clutches separately so extracted effect sizes individually. Testing effect of single vs multiple mating males.,,,
64,Caesar,14,2009,Insecta,Orthoptera,Tetrigidae,Tetrix,Tetrix subulata,no. of eggs,direct,mating rate,1 mating vs. multiple,,Clutch no. - Male color morph,Clutch 1 / Different within treatment males,,10.74,,5.29,23,11.55,,6.27,27,Table 1,>1,>1,MP,4,Sequential,1 day,N,1,,,1:01,4:01,,Polyandrous,,Data given for two clutches separately so extracted effect sizes individually. Testing effect of single vs multiple mating males.,,,
65,Caesar,14,2009,Insecta,Orthoptera,Tetrigidae,Tetrix,Tetrix subulata,fertility,direct,mating rate,1 mating vs. multiple,,Clutch no. - Male color morph,Clutch 1 / Same within treatment males,,0.47,,0.42,23,0.55,,0.39,25,Table 1,>1,>1,MP,4,Sequential,1 day,N,1,,,1:01,4:01,,Polyandrous,,Data given for two clutches separately so extracted effect sizes individually. Testing effect of single vs multiple mating males.,,,
66,Caesar,14,2009,Insecta,Orthoptera,Tetrigidae,Tetrix,Tetrix subulata,fertility,direct,mating rate,1 mating vs. multiple,,Clutch no. - Male color morph,Clutch 1 / Different within treatment males,,0.47,,0.42,23,0.54,,0.36,27,Table 1,>1,>1,MP,4,Sequential,1 day,N,1,,,1:01,4:01,,Polyandrous,,Data given for two clutches separately so extracted effect sizes individually. Testing effect of single vs multiple mating males.,,,
67,Caesar,14,2009,Insecta,Orthoptera,Tetrigidae,Tetrix,Tetrix subulata,no. of eggs,direct,mating rate,1 mating vs. multiple,,Clutch no. - Male color morph,Clutch 2 / Same within treatment males,,5.76,,2.8,17,6.1,,2.69,20,Table 1,>1,>1,MP,4,Sequential,1 day,N,1,,,1:01,4:01,,Polyandrous,,Data given for two clutches separately so extracted effect sizes individually. Testing effect of single vs multiple mating males.,,,
68,Caesar,14,2009,Insecta,Orthoptera,Tetrigidae,Tetrix,Tetrix subulata,no. of eggs,direct,mating rate,1 mating vs. multiple,,Clutch no. - Male color morph,Clutch 2 / Different within treatment males,,5.76,,2.8,17,6.41,,2.96,17,Table 1,>1,>1,MP,4,Sequential,1 day,N,1,,,1:01,4:01,,Polyandrous,,Data given for two clutches separately so extracted effect sizes individually. Testing effect of single vs multiple mating males.,,,
69,Caesar,14,2009,Insecta,Orthoptera,Tetrigidae,Tetrix,Tetrix subulata,fertility,direct,mating rate,1 mating vs. multiple,,Clutch no. - Male color morph,Clutch 2 / Same within treatment males,,0.71,,0.39,17,0.66,,0.41,20,Table 1,>1,>1,MP,4,Sequential,1 day,N,1,,,1:01,4:01,,Polyandrous,,Data given for two clutches separately so extracted effect sizes individually. Testing effect of single vs multiple mating males.,,,
70,Caesar,14,2009,Insecta,Orthoptera,Tetrigidae,Tetrix,Tetrix subulata,fertility,direct,mating rate,1 mating vs. multiple,,Clutch no. - Male color morph,Clutch 2 / Different within treatment males,,0.71,,0.39,17,0.62,,0.4,17,Table 1,>1,>1,MP,4,Sequential,1 day,N,1,,,1:01,4:01,,Polyandrous,,Data given for two clutches separately so extracted effect sizes individually. Testing effect of single vs multiple mating males.,,,
71,Chiba,15,2023,Malacostraca,Decapoda,Pandalidae,Pandalus,Pandalus latirostris,no. of eggs,direct,sex ratio,3,3,-,,,266.2,,48.56248,15,236.9333,,108.3312,15,Dryad Data,>1,>1,MP,36,Simultaneous,,N,1,3,,1:01,3:01,Y,Polyandrous,,"Individual females were kept in cgaes with 1, 3, 5, 7 males.",,,
